id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,goals,assists,xG,xA,xGI
240,Nkunku,3,0,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0.0,0.0,0.0
241,Caicedo,3,2796,32,100,562.4,403.1,128.0,109.2,580,57,3,1,1.45,2.38,3.83
244,Lavia,3,374,4,75,34.4,46.6,14.0,9.5,81,49,0,0,0.21,0.55,0.76
245,Mudryk,3,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0.0,0.0
246,Andrey Santos,3,1247,13,100,229.6,153.9,91.0,47.5,257,44,1,0,2.0,0.88,2.88
247,D.Essugo,3,26,0,100,11.4,2.1,2.0,1.6,7,43,0,0,0.0,0.01,0.01
248,Paez,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
249,João Pedro,4,2658,31,100,758.4,456.6,909.0,212.1,715,74,15,9,14.91,1.96,16.87
250,Delap,4,1092,12,100,67.8,73.7,349.0,47.3,123,62,1,2,4.54,0.23,4.76
251,N.Jackson,4,0,0,0,0.0,0.0,0.0,0.0,0,65,0,0,0.0,0.0,0.0
252,Marc Guiu,4,265,1,100,24.6,40.1,86.0,13.1,19,40,0,1,1.54,0.29,1.83
453,Garnacho,3,1261,14,100,211.4,405.3,399.0,100.5,222,64,1,4,3.44,3.68,7.12
743,Emenalo,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
829,Derry,3,45,1,100,4.6,6.4,25.0,3.6,5,45,0,0,0.1,0.02,0.12
833,Eboué,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
834,Kavuma-McQueen,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
840,Mheuka,4,1,0,0,2.0,0.3,0.0,0.2,3,45,0,0,0.0,0.0,0.0
267,Sarr,3,2173,24,100,479.8,269.4,601.0,135.1,359,64,9,2,10.93,1.17,12.09
268,Doucouré,3,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0.0,0.0
269,Esse,3,40,0,0,6.8,2.7,6.0,1.5,12,47,0,0,0.0,0.04,0.04
270,Hughes,3,1560,19,100,198.0,322.9,90.0,60.9,217,47,0,1,1.11,1.94,3.05
271,Kamada,3,1899,22,100,239.2,350.1,155.0,74.5,331,50,0,2,1.64,3.24,4.88
272,Lerma,3,1722,18,100,287.6,207.2,233.0,72.5,296,49,0,5,1.84,1.48,3.32
273,Wharton,3,2552,29,100,494.4,720.0,180.0,139.6,511,50,1,6,1.52,7.47,8.98
274,Agbinone,3,0,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0.0,0.0,0.0
275,Ahamada,3,0,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0.0,0.0,0.0
276,Devenny,3,785,7,100,115.0,101.8,168.0,38.4,108,43,1,0,2.38,0.39,2.77
277,Ebiowei,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
278,J.Rak-Sakyi,3,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
279,M.França,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
280,Ozoh,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
281,Rodney,3,3,0,0,0.0,0.1,0.0,0.0,2,44,0,0,0.0,0.0,0.0
282,Umeh,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
283,Mateta,4,2210,25,100,567.2,160.6,786.0,150.8,397,76,12,0,14.42,1.32,15.74
284,Nketiah,4,414,2,0,120.0,84.6,173.0,37.8,100,54,2,0,1.77,0.46,2.23
285,Édouard,4,2,0,0,2.0,0.0,0.0,0.2,6,50,0,0,0.0,0.0,0.0
286,Marsh,4,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
580,Johnson,3,1710,19,0,223.4,311.1,230.0,75.8,217,65,2,1,2.45,1.31,3.76
654,Strand Larsen,4,2301,26,100,265.2,203.1,469.0,91.5,215,58,4,1,5.3,1.12,6.42
677,Guessand,3,909,9,100,159.4,76.6,187.0,42.0,143,62,1,3,1.56,0.85,2.41
690,Cardines,3,90,1,100,15.2,30.0,4.0,4.9,21,44,0,0,0.02,0.16,0.18
712,Yeremy,3,2074,26,100,325.8,718.4,371.0,141.4,331,58,2,2,4.53,6.12,10.65
732,Uche,4,159,0,0,13.2,7.1,73.0,8.8,42,55,0,1,0.49,0.01,0.5
762,Drakes-Thomas,3,7,0,0,1.4,1.0,0.0,0.3,6,45,0,0,0.0,0.0,0.0
780,Casey,4,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
242,Dewsbury-Hall,3,2629,30,100,619.4,601.1,438.0,166.0,598,53,8,7,4.35,5.34,9.69
243,George,3,351,1,100,44.2,66.2,132.0,23.9,55,48,0,0,0.64,1.19,1.83
299,Ndiaye,3,2781,32,100,605.8,479.2,578.0,166.5,540,63,6,3,6.68,4.41,11.09
300,McNeil,3,1161,14,0,140.6,242.4,138.0,52.2,186,55,0,3,1.37,1.91,3.28
301,Alcaraz,3,679,6,100,93.8,161.9,162.0,41.8,121,52,0,1,1.17,0.54,1.71
302,Gana,3,2094,25,50,382.6,259.2,208.0,85.1,419,54,2,3,1.99,1.84,3.83
303,Garner,3,3413,38,0,887.0,958.0,237.0,208.4,818,52,2,7,2.1,6.18,8.28
304,Iroegbunam,3,1477,17,100,255.0,125.2,81.0,45.9,225,48,0,3,0.54,0.71,1.25
305,Armstrong,3,524,6,100,60.0,69.7,78.0,21.0,84,45,0,0,0.79,0.22,1.01
306,Bates,3,0,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0.0,0.0,0.0
307,Ebere,3,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
308,Heath,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
309,Metcalfe,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
310,Barry,4,1898,21,0,341.0,207.7,501.0,102.5,295,57,8,0,8.17,0.44,8.61
311,Beto,4,1551,17,100,445.8,159.8,655.0,124.5,343,51,9,1,8.9,0.23,9.13
312,Y.Chermiti,4,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0.0,0.0
313,Sherif,4,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
419,Grealish,3,1627,18,0,374.2,520.5,397.0,129.2,356,63,2,6,2.05,3.37,5.41
704,Onyango,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
707,Dibling,3,349,4,0,46.0,61.0,32.0,13.6,49,53,0,0,0.2,0.14,0.34
728,Röhl,3,675,6,100,113.0,87.4,62.0,26.3,98,50,1,1,0.67,0.35,1.02
779,Graham,4,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
324,Iwobi,3,2420,29,100,511.2,739.4,343.0,159.4,508,61,4,3,1.91,4.7,6.61
325,Smith Rowe,3,1909,22,100,291.6,330.0,404.0,102.6,351,56,3,1,4.71,1.12,5.83
327,Andreas,3,0,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0.0,0.0,0.0
328,Sessegnon,3,1816,20,100,413.8,225.0,229.0,86.7,332,54,3,3,1.6,1.8,3.4
329,Wilson,3,2674,32,100,707.2,661.1,601.0,196.9,637,58,10,9,5.88,4.77,10.65
330,Berge,3,2904,34,0,437.8,365.1,105.0,91.0,503,49,0,3,1.54,1.5,3.04
331,Cairney,3,756,6,100,153.4,195.6,64.0,41.4,181,48,2,0,1.21,0.81,2.02
332,Lukić,3,1730,20,100,317.6,441.6,176.0,93.4,314,49,1,4,2.23,1.91,4.14
333,Godo,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
334,Harris,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
335,King,3,1290,15,100,207.4,198.7,336.0,73.3,225,44,1,3,2.47,0.66,3.13
336,Reed,3,89,1,100,42.0,44.4,11.0,9.7,48,43,1,0,0.13,0.45,0.58
337,Raúl,4,2183,27,100,479.4,331.5,729.0,153.1,410,59,9,5,11.58,0.9,12.48
338,Muniz,4,987,10,100,113.2,93.2,287.0,47.3,94,53,1,1,3.3,0.15,3.45
424,Bobb,3,1030,11,100,140.4,315.4,205.0,66.4,182,51,0,2,1.47,2.1,3.57
727,Chukwueze,3,1067,10,100,274.0,346.7,243.0,85.8,242,53,3,4,2.1,3.36,5.46
731,Kevin,3,1030,9,100,216.0,246.6,243.0,70.4,183,57,1,3,1.21,1.47,2.68
737,Kusi-Asare,4,49,0,0,3.2,12.0,8.0,2.3,19,45,0,0,0.0,0.07,0.07
770,Ridgeon,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
168,Buonanotte,3,81,1,100,13.2,40.0,21.0,7.4,9,46,0,0,0.06,0.28,0.34
350,Aaronson,3,2449,30,100,482.8,486.7,498.0,146.7,446,54,4,8,4.53,3.6,8.13
351,Gnonto,3,521,4,100,85.2,129.3,61.0,27.5,134,51,0,3,0.4,0.77,1.17
352,Harrison,3,262,1,0,30.0,49.4,35.0,11.5,51,51,0,0,0.28,0.23,0.51
353,James,3,547,6,100,70.8,133.1,133.0,33.9,93,52,0,0,0.91,0.71,1.62
354,Ampadu,3,3119,35,100,592.2,384.8,166.0,114.7,586,49,1,4,2.47,2.2,4.67
355,Greenwood,3,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0.0,0.0
356,Gruev,3,1318,15,0,199.4,171.0,64.0,43.2,245,47,0,4,0.49,0.86,1.35
357,Ramazani,3,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0.0,0.0
358,Tanaka,3,1307,14,100,224.2,307.6,104.0,63.6,288,48,2,1,1.44,1.39,2.83
359,Crew,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
360,Gelhardt,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
361,Gyabi,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
362,Piroe,4,244,2,100,13.6,38.1,120.0,16.5,42,49,0,0,0.9,0.13,1.03
363,Bamford,4,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0.0,0.0
364,Mateo Joseph,4,0,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0.0,0.0,0.0
365,Nmecha,4,1065,10,100,290.4,153.5,434.0,87.8,268,50,6,1,7.25,1.58,8.83
493,Longstaff,3,1003,10,100,291.8,403.7,116.0,81.2,273,48,2,2,1.23,1.87,3.1
660,Stach,3,2369,28,0,650.0,921.4,315.0,188.8,550,48,5,6,2.88,4.47,7.35
691,Calvert-Lewin,4,2721,30,100,619.6,311.1,1026.0,194.7,472,58,14,2,15.57,1.06,16.62
698,Okafor,3,1553,19,0,438.8,275.0,435.0,115.0,354,55,8,3,5.25,1.32,6.57
741,Gray,4,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
787,Chambers,3,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
838,Chadwick,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
839,Cresswell,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
381,M.Salah,3,2144,23,100,524.8,740.7,805.0,207.1,392,140,7,7,8.23,5.44,13.67
382,Wirtz,3,2374,27,100,526.4,908.2,665.0,210.0,521,83,5,4,6.83,5.14,11.96
383,Luis Díaz,3,0,0,0,0.0,0.0,0.0,0.0,0,80,0,0,0.0,0.0,0.0
384,Gakpo,3,2736,32,100,540.4,714.7,831.0,208.4,449,73,7,5,8.35,4.67,13.02
385,Chiesa,3,317,1,100,122.0,47.5,182.0,34.9,135,63,2,1,1.45,0.61,2.06
386,Mac Allister,3,2654,31,100,475.4,562.2,365.0,139.9,490,61,2,5,3.89,1.69,5.58
387,Szoboszlai,3,3232,36,100,867.8,1324.6,417.0,260.9,780,71,6,7,4.76,6.83,11.59
388,C.Jones,3,1923,18,100,407.4,412.1,227.0,104.6,447,54,1,3,2.21,2.77,4.98
