id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,clean_sheets_5,goals_conceded_5,tackles_5,defensive_contribution_5
447,36.0,2,0.6,4.88,0.9200000000000002,4.4,0,3,4,10
448,1.6,2,0.2,0.8,0.2,0.8,0,0,2,2
788,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
473,58.4,2,1.0,12.44,14.26,7.2,0,4,5,20
474,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
475,90.0,2,3.8,33.96,2.68,14.8,0,6,8,72
476,73.6,2,2.8,20.560000000000002,3.6800000000000006,10.8,0,5,9,32
477,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
478,17.0,2,0.6,2.68,4.7,2.8,0,1,2,4
479,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
480,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
481,1.2,2,0.2,1.6,0.12,0.8,0,0,0,3
482,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
483,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
484,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
684,90.0,2,1.8,20.68,1.56,10.8,0,6,9,35
765,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
12,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
505,81.0,2,3.2,20.159999999999997,5.02,9.6,1,6,6,46
506,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
507,18.0,2,1.8,3.4799999999999995,0.18,6.2,1,0,4,9
508,81.0,2,2.2,17.04,11.84,9.8,1,6,12,39
509,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
510,50.4,2,1.4,7.2,2.56,4.8,0,2,5,21
511,80.0,2,3.4,27.24,3.3200000000000003,8.4,0,6,6,42
512,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
513,9.0,2,0.2,0.0,0.02,0.4,0,0,2,3
514,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
716,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
729,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
814,61.0,2,1.8,11.120000000000001,5.680000000000001,5.0,0,5,12,26
531,22.6,2,-0.4,3.84,0.5399999999999999,-3.8,0,6,1,8
532,83.6,2,3.0,19.08,23.939999999999998,10.4,1,8,6,21
