id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,clean_sheets,goals_conceded,xGC
349,Schmidt,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
706,Justin,2,1893,21,100,469.8,190.9,220.0,88.3,338,40,6,26,33.01
837,Lienou,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
370,Frimpong,2,1032,12,100,133.2,244.6,186.0,56.5,237,57,5,13,12.97
371,Kerkez,2,2251,27,100,434.6,415.8,141.0,99.4,357,56,6,37,30.1
372,Robertson,2,1165,11,0,239.8,318.8,121.0,68.2,216,57,4,16,17.44
373,Virgil,2,3420,38,0,1169.4,215.9,490.0,187.6,593,61,10,53,47.63
374,Konaté,2,3090,36,100,779.2,160.5,119.0,106.1,532,54,10,45,40.66
375,Bradley,2,928,12,25,157.4,105.2,62.0,32.3,157,49,4,13,10.77
376,Gomez,2,594,7,100,122.8,77.8,31.0,23.2,94,49,2,14,9.31
377,Tsimikas,2,0,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0.0
378,Nallo,2,0,0,100,0.0,0.0,0.0,0.0,0,37,0,0,0.0
379,R.Williams,2,0,0,0,0.0,0.0,0.0,0.0,0,37,0,0,0.0
380,Ramsay,2,0,0,0,0.0,0.0,0.0,0.0,0,37,0,0,0.0
692,Leoni,2,0,0,50,0.0,0.0,0.0,0.0,0,49,0,0,0.0
760,Lucky,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
832,Ndiaye,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
260,Guéhi,2,3150,35,100,901.6,304.6,402.0,160.9,688,51,14,35,44.58
402,Aït-Nouri,2,971,12,100,195.6,216.4,90.0,50.2,237,57,5,8,12.25
403,Gvardiol,2,1370,16,100,369.0,109.5,218.0,69.8,303,58,6,13,16.05
404,Akanji,2,0,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0.0
405,Aké,2,686,6,0,132.4,111.7,78.0,32.4,151,52,3,9,9.85
406,Khusanov,2,1427,15,100,299.0,112.2,26.0,43.9,293,54,6,13,20.89
407,Matheus N.,2,2861,32,100,696.0,545.0,131.0,137.6,676,53,12,28,34.89
408,Rúben,2,2139,24,100,560.8,152.2,96.0,81.0,453,55,12,22,26.07
409,Stones,2,436,5,100,101.8,24.4,4.0,13.0,55,54,1,10,6.62
410,Lewis,2,401,4,100,70.8,112.5,55.0,23.8,72,46,1,7,6.81
