id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,goals_scored_5,assists_5
563,0.0,4,0.0,0.0,0.0,0.0,0,0
564,0.0,4,0.0,0.0,0.0,0.0,0,0
668,90.0,3,3.6,19.199999999999996,20.659999999999997,18.4,0,1
730,77.4,4,3.4,10.8,13.080000000000002,10.6,1,1
735,0.0,3,0.0,0.0,0.0,0.0,0,0
775,0.0,3,0.0,0.0,0.0,0.0,0,0
800,0.0,3,0.0,0.0,0.0,0.0,0,0
813,29.4,3,0.8,1.8399999999999999,3.2,3.2,0,0
821,0.0,3,0.0,0.0,0.0,0.0,0,0
822,0.0,3,0.0,0.0,0.0,0.0,0,0
579,0.0,3,0.0,0.0,0.0,0.0,0,0
581,6.8,3,0.6,0.5599999999999999,1.9,1.0,0,0
582,0.0,3,0.0,0.0,0.0,0.0,0,0
583,0.0,3,0.0,0.0,0.0,0.0,0,0
584,76.2,3,4.0,16.92,27.619999999999997,12.8,1,1
585,81.4,3,3.6,13.879999999999999,7.460000000000001,15.2,0,0
586,7.4,3,0.6,0.2,0.27999999999999997,2.2,0,0
587,16.8,3,0.8,1.1600000000000001,0.9800000000000001,2.8,0,0
588,0.0,3,0.0,0.0,0.0,0.0,0,0
589,0.0,3,0.0,0.0,0.0,0.0,0,0
590,0.0,3,0.0,0.0,0.0,0.0,0,0
591,1.6,3,0.2,0.44000000000000006,0.0,0.4,0,0
592,0.0,3,0.0,0.0,0.0,0.0,0,0
593,7.8,3,1.0,4.24,7.340000000000001,4.0,0,1
594,0.0,3,0.0,0.0,0.0,0.0,0,0
595,0.0,3,0.0,0.0,0.0,0.0,0,0
596,7.8,4,0.2,2.32,0.72,1.8,0,0
597,78.4,4,4.8,22.799999999999997,9.66,15.8,2,1
598,0.0,4,0.0,0.0,0.0,0.0,0,0
599,0.0,4,0.0,0.0,0.0,0.0,0,0
673,73.2,3,6.0,27.24,6.3,22.6,2,0
717,12.4,3,0.6,0.8400000000000001,5.66,2.0,0,0
726,57.2,4,1.4,3.44,5.98,3.8,0,0
751,0.0,3,0.0,0.0,0.0,0.0,0,0
790,0.0,3,0.0,0.0,0.0,0.0,0,0
796,88.2,3,4.0,16.68,14.24,17.0,1,0
